answer,answer_index,cluster,cluster_index,first,label,label_index
http://www.iqtree.org/doc/Dating#inferring-time-tree-with-tip-dates,91.0,Phylogenetic Dating,12.0,"hCoV-19/Wuhan-Hu-1         2019-12-31
hCoV-19/China/WF0028       2020-02
hCoV-19/USA/WA-S88         2020-03-01
hCoV-19/USA/CA-CDPH-UC1	   2020
hCoV-19/Italy/SPL1         2020-01-29
hCoV-19/Spain/Valencia5	   2020-02-27
hCoV-19/Australia/QLD01	   2020-01-28
hCoV-19/Vietnam/CM295      2020-03-06
hCoV-19/bat/Yunnan         2013-07-24
hCoV-19/pangolin/Guangdong 2019-02-01:2019-12-31
",Inferring time tree with tip dates,91.0
http://www.iqtree.org/doc/Dating#calibrating-tree-using-ancestral-dates,92.0,Phylogenetic Dating,12.0,"taxon1,taxon2	      -50
taxon3,taxon4,taxon5  -100
taxon6                -10
",Calibrating tree using ancestral dates,92.0
http://www.iqtree.org/doc/Dating#dating-an-existing-tree,93.0,Phylogenetic Dating,12.0,"iqtree -s ALN_FILE --date DATE_FILE -te TREE_FILE
",Dating an existing tree,93.0
http://www.iqtree.org/doc/Dating#obtaining-confidence-intervals,94.0,Phylogenetic Dating,12.0,"iqtree -s ALN_FILE --date DATE_FILE --date-ci 100
",Obtaining confidence intervals,94.0
http://www.iqtree.org/doc/Dating#excluding-outlier-taxanodes,95.0,Phylogenetic Dating,12.0,"iqtree -s ALN_FILE --date DATE_FILE --date-outlier 3
",Excluding outlier taxa/nodes,95.0
http://www.iqtree.org/doc/Dating#full-list-of-lsd2-options,96.0,Phylogenetic Dating,12.0,"iqtree -s ALN_FILE --date DATE_FILE --date-options ""-e 2""
",Full list of LSD2 options,96.0
http://www.iqtree.org/doc/Polymorphism-Aware-Models#counts-files,97.0,Polymorphism-aware models,13.0,"The input of PoMo is allele frequency data. Especially, when populations have many individuals it is preferable to count the number of bases at each position compared to providing data for each chromosome in a FASTA file. Thereby file size is decreased and parsed faster.",Counts files,97.0
http://www.iqtree.org/doc/Polymorphism-Aware-Models#first-running-example,98.0,Polymorphism-aware models,13.0,You can now start to reconstruct a maximum-likelihood tree from this alignment by entering (assuming that example.cf is in the same folder):,First running example,98.0
http://www.iqtree.org/doc/Polymorphism-Aware-Models#substitution-models,99.0,Polymorphism-aware models,13.0,"Different DNA substitution models can be selected with the -m option. E.g., to select the GTR model, run IQ-TREE with:",Substitution models,99.0
http://www.iqtree.org/doc/Polymorphism-Aware-Models#virtual-population-size,100.0,Polymorphism-aware models,13.0,"PoMo describes the evolution of populations along a phylogeny by means of a virtual population of constant size N, which defaults to nine (for details, see Schrempf et al., 2016). This is a good and stable default value. If only very few chromosomes have been sequenced per population (e.g., two to four), N should be lowered to the average number of chromosomes per population. If enough data is available and calculations are not too time consuming, we advise to increase N up to a maximum of 19. You can choose odd values from three to 19 as well as 2 and 10. E.g., to set N to 19:",Virtual population size,100.0
http://www.iqtree.org/doc/Polymorphism-Aware-Models#level-of-polymorphism,101.0,Polymorphism-aware models,13.0,"As of version 1.6, IQ-TREE with PoMo also allows fixation of the level of heterozygosity, which is also called Watterson’s theta or 4Nu. When analyzing population data, the amount of polymorphism is inferred during maximization of the likelihood. However, in some situations it may be useful to set the level of polymorphism to the observed value in the data (empirical value):",Level of polymorphism,101.0
http://www.iqtree.org/doc/Polymorphism-Aware-Models#sampling-method,102.0,Polymorphism-aware models,13.0,"For advanced users. PoMo offers different methods to read in the data (Schrempf et al., 2016). Briefly, each population and site are treated as follows",Sampling method,102.0
http://www.iqtree.org/doc/Polymorphism-Aware-Models#state-frequency-type,103.0,Polymorphism-aware models,13.0,"Similar to standard models, the state frequency type can be selected with +F model string modifiers. The default is to set the state frequencies (i.e., the frequencies of the nucleotides A, C, G and T) to the observed values in the data (empirical value). To estimate the allele frequencies together with the rate parameters during maximization of the likelihood, use:",State frequency type,103.0
http://www.iqtree.org/doc/Polymorphism-Aware-Models#rate-heterogeneity,104.0,Polymorphism-aware models,13.0,"Recently, PoMo allows inference with different rate categories. As of version 1.6, only discrete Gamma rate heterogeneity is supported. Please be aware, that for biological and mathematical reasons (we cannot simply scale the full transition matrix but have to separate the mutational component from genetic drift), the run time scales linearly with the number of rate categories. In the future, we plan to work on decreasing run time as well as implement more rate heterogeneity types. To use a discrete Gamma model with 4 rate categories, use:",Rate heterogeneity,104.0
http://www.iqtree.org/doc/Polymorphism-Aware-Models#bootstrap-branch-support,105.0,Polymorphism-aware models,13.0,"Bootstrapping works as expected with PoMo. The standard non-parametric bootstrap is invoked by the -b option, e.g., for 100 replicates:",Bootstrap branch support,105.0
http://www.iqtree.org/doc/Polymorphism-Aware-Models#interpretation-of-branch-lengths,106.0,Polymorphism-aware models,13.0,"PoMo estimates the branch length in number of mutations and frequency shifts (drift) per site. The number of drift events compared to the number of mutations becomes higher if the virtual population size is increased. To get the branch length measured in number of substitutions per site which enables a comparison to the branch length estimated by standard DNA substitution models, it has to be divided by N^2. PoMo also outputs the total tree length measured in number of substitutions per site in example.cf.iqtree. An example of the relevant section:",Interpretation of branch lengths,106.0
http://www.iqtree.org/doc/Rootstrap#inferring-unrooted-tree-with-outgroup,107.0,Rooting phylogenetic trees,14.0,"An input DNA alignment file for these 7 species.An input partition file that defines 52 genes in this alignment. This is a subset of the mammal dataset (Wu et al., 2018).",Inferring unrooted tree with outgroup,107.0
http://www.iqtree.org/doc/Rootstrap#inferring-rooted-trees-without-outgroup,108.0,Rooting phylogenetic trees,14.0,"An input DNA alignment file for 5 ingroup species (Yak, Cow, Goat, Sheep and Tibetan antelope). This is a sub-alignment of the alignment above. We can re-use the same partition file.",Inferring rooted trees without outgroup,108.0
http://www.iqtree.org/doc/Rootstrap#testing-root-positions,109.0,Rooting phylogenetic trees,14.0,"iqtree2 -s bovidae.phy -p rev_aa.best_scheme.nex --model-joint NONREV -st NT2AA --root-test -zb 1000 -au -te nonrev_aa.treefile --prefix nonrev_aa_test
",Testing root positions,109.0
http://www.iqtree.org/doc/Substitution-Models#dna-models,110.0,Substitution models,15.0,Base substitution rates,DNA models,110.0
http://www.iqtree.org/doc/Substitution-Models#protein-models,111.0,Substitution models,15.0,Amino-acid exchange rate matrices,Protein models,111.0
http://www.iqtree.org/doc/Substitution-Models#codon-models,112.0,Substitution models,15.0,"To apply a codon model one should use the option -st CODON to tell IQ-TREE that the alignment contains protein coding sequences (otherwise, IQ-TREE thinks that it contains DNA sequences and will apply DNA models). This implicitly applies the standard genetic code. You can change to an other genetic code by appending the appropriate ID to the CODON keyword:",Codon models,112.0
http://www.iqtree.org/doc/Substitution-Models#binary-and-morphological-models,113.0,Substitution models,15.0,"The binary alignments should contain state 0 and 1, whereas for morphological data, the valid states are 0 to 9 and A to Z.",Binary and morphological models,113.0
http://www.iqtree.org/doc/Substitution-Models#ascertainment-bias-correction,114.0,Substitution models,15.0,"An ascertainment bias correction (+ASC) model (Lewis, 2001) should be applied if the alignment does not contain constant sites (such as morphological or SNPs data). For example:",Ascertainment bias correction,114.0
http://www.iqtree.org/doc/Substitution-Models#rate-heterogeneity-across-sites,115.0,Substitution models,15.0,IQ-TREE supports all common rate heterogeneity across sites models:,Rate heterogeneity across sites,115.0
http://www.iqtree.org/doc/Web-Server-Tutorial#tree-inference,116.0,Web server tutorial,16.0,"Tree Inference provides the most frequently used features of IQ-TREE and allows users to carry out phylogenetic analysis on a multiple sequence alignment (MSA). In the most basic case, no more than an MSA file is required to submit the job. Without further input, IQ-TREE will run with the default parameters and auto-detect the sequence type as well as the best-fitting substitution model. Additionally, Ultrafast Bootstrap (Hoang et al., 2018) and the SH-aLRT branch test (Guindon et al., 2010) will be performed.",Tree Inference,116.0
http://www.iqtree.org/doc/Web-Server-Tutorial#model-selection,117.0,Web server tutorial,16.0,"IQ-TREE supports a wide range of substitution models for DNA, protein, codon, binary and morphological alignments. In case you do not know which model is appropriate for your data, IQ-TREE can automatically determine the best-fit model for your alignment. Use the Model Selection tab if you only want to find the best-fit model without doing tree reconstruction.",Model Selection,117.0
http://www.iqtree.org/doc/Web-Server-Tutorial#analysis-results,118.0,Web server tutorial,16.0,"In the tab Analysis Results you can monitor your jobs. With our example file, a run will only take a few seconds, depending on the server load. For your own alignments the CPU time limit is 24 hours. If you provided an email address when submitting the job, you will get an email once it is finished.",Analysis Results,118.0
